iter	Passed	Remaining
1140	5079	12149
1141	5084	12145
1142	5088	12141
1143	5093	12136
1144	5097	12130
1145	5101	12126
1146	5105	12121
1147	5110	12116
1148	5114	12111
1149	5118	12106
1150	5122	12101
1151	5127	12096
1152	5131	12091
1153	5135	12087
1154	5140	12082
1155	5144	12078
1156	5149	12074
1157	5153	12069
1158	5157	12064
1159	5161	12059
1160	5166	12055
1161	5171	12051
1162	5175	12046
1163	5179	12042
1164	5184	12037
1165	5188	12032
1166	5192	12026
1167	5197	12023
1168	5201	12019
1169	5206	12014
1170	5210	12010
1171	5215	12006
1172	5220	12002
1173	5224	11998
1174	5229	11993
1175	5233	11988
1176	5237	11983
1177	5241	11977
1178	5246	11973
1179	5250	11969
1180	5254	11964
1181	5258	11959
1182	5263	11955
1183	5268	11951
1184	5272	11946
1185	5276	11941
1186	5280	11936
1187	5285	11931
1188	5289	11927
1189	5294	11923
1190	5298	11918
1191	5302	11913
1192	5306	11908
1193	5311	11904
1194	5315	11899
1195	5320	11895
1196	5324	11889
1197	5328	11885
1198	5333	11880
1199	5337	11875
1200	5341	11870
1201	5346	11867
1202	5350	11862
1203	5355	11857
1204	5359	11852
1205	5363	11848
1206	5368	11843
1207	5372	11838
1208	5377	11834
1209	5381	11830
1210	5385	11826
1211	5390	11821
1212	5394	11816
1213	5399	11812
1214	5403	11807
1215	5408	11803
1216	5412	11799
1217	5416	11794
1218	5420	11789
1219	5425	11785
1220	5430	11781
1221	5434	11776
1222	5439	11772
1223	5443	11767
1224	5448	11764
1225	5452	11759
1226	5457	11756
1227	5462	11752
1228	5466	11747
1229	5471	11743
1230	5475	11738
1231	5480	11734
1232	5484	11729
1233	5489	11725
1234	5493	11720
1235	5497	11715
1236	5501	11710
1237	5505	11705
1238	5510	11701
1239	5514	11695
1240	5518	11691
1241	5523	11686
1242	5528	11683
1243	5532	11678
1244	5536	11673
1245	5540	11668
1246	5545	11663
1247	5549	11658
1248	5553	11653
1249	5557	11648
1250	5562	11644
1251	5566	11639
1252	5570	11634
1253	5575	11630
1254	5579	11625
1255	5583	11619
1256	5587	11615
1257	5592	11611
1258	5596	11606
1259	5600	11601
1260	5605	11596
1261	5609	11592
1262	5613	11587
1263	5618	11582
1264	5622	11578
1265	5626	11573
1266	5630	11568
1267	5635	11564
1268	5639	11559
1269	5643	11554
1270	5647	11549
1271	5652	11544
1272	5656	11539
1273	5660	11534
1274	5664	11529
1275	5669	11525
1276	5673	11520
1277	5678	11517
1278	5683	11512
1279	5687	11508
1280	5692	11504
1281	5696	11499
1282	5700	11494
1283	5705	11490
1284	5709	11485
1285	5713	11480
1286	5717	11475
1287	5722	11471
1288	5727	11468
1289	5732	11464
1290	5736	11458
1291	5740	11454
1292	5744	11448
1293	5748	11443
1294	5752	11439
